EC2_ID,EC2_NAME,VOLUME_ID,AWS_VOLUME_NAME,AWS_VOLUME_SIZE,OS_VOLUME_NAME,OS_VOLUME_FS,OS_VOLUME_MOUNTPOINT,OS_VOLUME_SIZE,OS_VOLUME_USED,OS_VOLUME_FREE,OS_VOLUME_PERCENT,SNAPSHOTS_COUNT,SNAPSHOTS_SIZE
i-0538e0000111XXX000,AU Production Website,vol-0b3dc000000000000,/dev/sda1,100,/dev/xvda1,ext4,/,97G,14G,84G,15%,3,300
i-0538e0000111XXX000,AU Production Website,vol-0432b000000000000,/dev/sdb,489,/dev/xvdb,ext4,/opt,481G,164G,292G,36%,3,1467
i-0538e0000111XXX000,AU Production Website,vol-0b6c6000000000000,/dev/sdf,500,/dev/xvdf,ext4,/zip-archive,492G,17G,450G,4%,3,1500
i-0538e0000111XXX000,AU Production Website,vol-03970000000000000,/dev/sdc,500,/dev/xvdc,ext4,/mnt,492G,20G,448G,5%,3,1500
i-09d1a0000111XXX000,AU Worker Website,vol-0de5f7000000000000,/dev/sda1,100,nvme0n1p1,ext4,/,97G,14G,84G,14%,1,100
i-09d1a0000111XXX000,AU Worker Website,vol-048d96000000000000,/dev/sdc,500,nvme3n1,ext4,,,,,,1,500
i-09d1a0000111XXX000,AU Worker Website,vol-0ee51f000000000000,/dev/sdb,489,nvme1n1,ext4,/opt,481G,93G,383G,20%,1,489
i-09d1a0000111XXX000,AU Worker Website,vol-0e9dac000000000000,/dev/sdf,500,nvme2n1,ext4,,,,,,1,500
i-079210000111XXX000,NZ Production & Worker Website,vol-04e5000000000000,/dev/sdf,500,nvme3n1,ext4,/zip-archive,492G,8G,459G,2%,0,0
i-079210000111XXX000,NZ Production & Worker Website,vol-0140000000000000,/dev/sda1,100,nvme0n1p1,ext4,/,97G,45G,53G,47%,0,0
i-079210000111XXX000,NZ Production & Worker Website,vol-0278000000000000,/dev/sdc,500,nvme2n1,ext4,/mnt,492G,20G,448G,5%,0,0
i-079210000111XXX000,NZ Production & Worker Website,vol-06c1000000000000,/dev/sdb,489,nvme1n1,ext4,/opt,481G,21G,436G,5%,0,0